Time , el8_pstrn
0.0,0.0
9.98567e-5,-1.24232e-6
0.000199947,-3.12874e-5
0.000299803,-0.00013677
0.000399893,-0.000324241
0.000499983,-0.00035389
0.00059984,-0.00429512
0.00069993,-0.0331513
0.000799787,-0.0483476
0.000899877,-0.0672537
0.000999967,-0.0857625
0.00109982,-0.104748
0.00119991,-0.122565
0.00129977,-0.137056
0.00139986,-0.151602
0.00149995,-0.164905
0.00159981,-0.174806
0.0016999,-0.180917
0.00179999,-0.182722
0.00189984,-0.18009
0.00199993,-0.175356
0.00209979,-0.171083
0.00219988,-0.165715
0.00229997,-0.159314
0.00239983,-0.152931
0.00249992,-0.148056
0.00259977,-0.144187
0.00269986,-0.142596
0.00279995,-0.1438
0.00289981,-0.147029
0.0029999,-0.151778
0.00309999,-0.157668
0.00319985,-0.163636
0.00329994,-0.169229
0.00339979,-0.174552
0.00349988,-0.180396
0.00359997,-0.186306
0.00369983,-0.192172
0.00379992,-0.197668
0.00389978,-0.203216
0.00399987,-0.208582
0.00409996,-0.213353
0.00419981,-0.217717
0.0042999,-0.220759
0.00439999,-0.222223
0.00449985,-0.222828
0.00459994,-0.223187
0.0046998,-0.223756
0.00479989,-0.224455
0.00489998,-0.225126
0.00499983,-0.225403
0.00509992,-0.225043
0.00519978,-0.224072
0.00529987,-0.223034
0.00539996,-0.223307
0.00549982,-0.225101
0.00559991,-0.228389
0.0057,-0.232488
0.00579985,-0.237133
0.00589994,-0.242967
0.0059998,-0.249442
0.00609989,-0.25557
0.00619998,-0.260977
0.00629984,-0.265414
0.00639993,-0.269199
0.00649978,-0.272531
0.00659987,-0.275653
0.00669996,-0.278479
0.00679982,-0.280659
0.00689991,-0.282052
0.007,-0.282988
0.00709986,-0.283551
0.00719995,-0.283702
0.0072998,-0.283576
0.00739989,-0.283212
0.00749998,-0.282557
0.00759984,-0.281562
0.00769993,-0.280175
0.00779979,-0.278356
0.00789988,-0.276033
0.00799997,-0.27317
0.00809982,-0.269737
0.00819991,-0.26571
0.00829977,-0.261175
0.00839986,-0.256211
0.00849995,-0.251001
0.00859981,-0.24584
0.0086999,-0.240921
0.00879999,-0.236398
0.00889984,-0.23236
0.00899993,-0.228808
0.00909979,-0.225771
0.00919988,-0.223243
0.00929997,-0.221193
0.00939983,-0.219594
0.00949992,-0.218337
0.00959977,-0.217287
0.00969986,-0.216291
0.00979995,-0.215241
0.00989981,-0.214091
0.0099999,-0.212787
0.0101,-0.211251
0.0101998,-0.209452
0.0102999,-0.207381
0.0103998,-0.20508
0.0104999,-0.202608
0.0106,-0.20006
0.0106998,-0.197521
0.0107999,-0.195008
0.0108998,-0.192542
0.0109999,-0.190107
0.0111,-0.187683
0.0111998,-0.185243
0.0112999,-0.182753
0.0114,-0.180218
0.0114999,-0.177704
0.0115999,-0.175204
0.0116998,-0.172732
0.0117999,-0.170306
0.0119,-0.167933
0.0119998,-0.165615
0.0120999,-0.163343
0.0121998,-0.16114
0.0122999,-0.159022
0.0124,-0.157026
