el8_pstrn , el8_pstrn
 0.00000e+00 ,  0.00000e+00
 3.93445e-09 ,  3.93445e-09
 1.56546e-09 ,  1.56546e-09
-5.33204e-08 , -5.33204e-08
-2.89983e-08 , -2.89983e-08
 4.68879e-07 ,  4.68879e-07
 1.36094e-06 ,  1.36094e-06
 1.01601e-05 ,  1.01601e-05
 1.00261e-04 ,  1.00261e-04
-3.30514e-04 , -3.30514e-04
-3.13949e-03 , -3.13949e-03
 2.96534e-02 ,  2.96534e-02
 1.28481e-01 ,  1.28481e-01
 1.93291e-01 ,  1.93291e-01
 1.93994e-01 ,  1.93994e-01
 1.93946e-01 ,  1.93946e-01
 2.07470e-01 ,  2.07470e-01
 2.20080e-01 ,  2.20080e-01
 2.27478e-01 ,  2.27478e-01
 2.33042e-01 ,  2.33042e-01
 2.41252e-01 ,  2.41252e-01
 2.55079e-01 ,  2.55079e-01
 2.73912e-01 ,  2.73912e-01
 2.94797e-01 ,  2.94797e-01
 3.14603e-01 ,  3.14603e-01
 3.31681e-01 ,  3.31681e-01
 3.46161e-01 ,  3.46161e-01
 3.58413e-01 ,  3.58413e-01
 3.67549e-01 ,  3.67549e-01
 3.72537e-01 ,  3.72537e-01
 3.72100e-01 ,  3.72100e-01
 3.66563e-01 ,  3.66563e-01
 3.57990e-01 ,  3.57990e-01
 3.48974e-01 ,  3.48974e-01
 3.41550e-01 ,  3.41550e-01
 3.36755e-01 ,  3.36755e-01
 3.34556e-01 ,  3.34556e-01
 3.34455e-01 ,  3.34455e-01
 3.35480e-01 ,  3.35480e-01
 3.34635e-01 ,  3.34635e-01
 3.30443e-01 ,  3.30443e-01
 3.22408e-01 ,  3.22408e-01
 3.11041e-01 ,  3.11041e-01
 2.97230e-01 ,  2.97230e-01
 2.81772e-01 ,  2.81772e-01
 2.66362e-01 ,  2.66362e-01
 2.51311e-01 ,  2.51311e-01
 2.36025e-01 ,  2.36025e-01
 2.21107e-01 ,  2.21107e-01
 2.06766e-01 ,  2.06766e-01
 1.92835e-01 ,  1.92835e-01
 1.79535e-01 ,  1.79535e-01
 1.67488e-01 ,  1.67488e-01
 1.55952e-01 ,  1.55952e-01
 1.44670e-01 ,  1.44670e-01
 1.33712e-01 ,  1.33712e-01
 1.23141e-01 ,  1.23141e-01
 1.12727e-01 ,  1.12727e-01
 1.02731e-01 ,  1.02731e-01
 9.37480e-02 ,  9.37480e-02
 8.61128e-02 ,  8.61128e-02
 7.98278e-02 ,  7.98278e-02
 7.49417e-02 ,  7.49417e-02
 7.12997e-02 ,  7.12997e-02
 6.87480e-02 ,  6.87480e-02
 6.70396e-02 ,  6.70396e-02
 6.59050e-02 ,  6.59050e-02
 6.51613e-02 ,  6.51613e-02
 6.47140e-02 ,  6.47140e-02
 6.42517e-02 ,  6.42517e-02
 6.33467e-02 ,  6.33467e-02
 6.19388e-02 ,  6.19388e-02
 6.00718e-02 ,  6.00718e-02
 5.78895e-02 ,  5.78895e-02
 5.55773e-02 ,  5.55773e-02
 5.31917e-02 ,  5.31917e-02
 5.06258e-02 ,  5.06258e-02
 4.78142e-02 ,  4.78142e-02
 4.48382e-02 ,  4.48382e-02
 4.17655e-02 ,  4.17655e-02
 3.86131e-02 ,  3.86131e-02
 3.52932e-02 ,  3.52932e-02
 3.16541e-02 ,  3.16541e-02
 2.75868e-02 ,  2.75868e-02
 2.30087e-02 ,  2.30087e-02
 1.79373e-02 ,  1.79373e-02
 1.24504e-02 ,  1.24504e-02
 6.66683e-03 ,  6.66683e-03
 6.78062e-04 ,  6.78062e-04
-5.43724e-03 , -5.43724e-03
-1.15621e-02 , -1.15621e-02
-1.76702e-02 , -1.76702e-02
-2.39401e-02 , -2.39401e-02
-3.05084e-02 , -3.05084e-02
-3.74505e-02 , -3.74505e-02
-4.48292e-02 , -4.48292e-02
-5.25176e-02 , -5.25176e-02
-6.05381e-02 , -6.05381e-02
-6.90034e-02 , -6.90034e-02
-7.78826e-02 , -7.78826e-02
-8.71750e-02 , -8.71750e-02
-9.65411e-02 , -9.65411e-02
-1.05987e-01 , -1.05987e-01
-1.15514e-01 , -1.15514e-01
-1.25030e-01 , -1.25030e-01
-1.34441e-01 , -1.34441e-01
-1.43542e-01 , -1.43542e-01
-1.52212e-01 , -1.52212e-01
-1.60567e-01 , -1.60567e-01
-1.68482e-01 , -1.68482e-01
-1.75886e-01 , -1.75886e-01
-1.82670e-01 , -1.82670e-01
-1.88793e-01 , -1.88793e-01
-1.94504e-01 , -1.94504e-01
-1.99940e-01 , -1.99940e-01
-2.05003e-01 , -2.05003e-01
-2.09598e-01 , -2.09598e-01
-2.13652e-01 , -2.13652e-01
-2.17178e-01 , -2.17178e-01
-2.20414e-01 , -2.20414e-01
-2.23580e-01 , -2.23580e-01
-2.26699e-01 , -2.26699e-01
-2.29840e-01 , -2.29840e-01
-2.32769e-01 , -2.32769e-01
-2.35100e-01 , -2.35100e-01
-2.36590e-01 , -2.36590e-01
-2.37305e-01 , -2.37305e-01
-2.37395e-01 , -2.37395e-01
-2.37002e-01 , -2.37002e-01
-2.36220e-01 , -2.36220e-01
-2.34982e-01 , -2.34982e-01
-2.33268e-01 , -2.33268e-01
-2.31260e-01 , -2.31260e-01
-2.29043e-01 , -2.29043e-01
-2.26608e-01 , -2.26608e-01
-2.24069e-01 , -2.24069e-01
-2.21533e-01 , -2.21533e-01
-2.19101e-01 , -2.19101e-01
-2.16858e-01 , -2.16858e-01
-2.14743e-01 , -2.14743e-01
-2.12581e-01 , -2.12581e-01
-2.10147e-01 , -2.10147e-01
-2.07179e-01 , -2.07179e-01
-2.03496e-01 , -2.03496e-01
-1.98935e-01 , -1.98935e-01
-1.93429e-01 , -1.93429e-01
-1.87015e-01 , -1.87015e-01
-1.79709e-01 , -1.79709e-01
-1.71641e-01 , -1.71641e-01
-1.62848e-01 , -1.62848e-01
-1.53417e-01 , -1.53417e-01
-1.43456e-01 , -1.43456e-01
-1.32932e-01 , -1.32932e-01
-1.21936e-01 , -1.21936e-01
-1.10550e-01 , -1.10550e-01
-9.89319e-02 , -9.89319e-02
-8.71776e-02 , -8.71776e-02
-7.52985e-02 , -7.52985e-02
-6.33906e-02 , -6.33906e-02
-5.15108e-02 , -5.15108e-02
-3.96699e-02 , -3.96699e-02
-2.80147e-02 , -2.80147e-02
-1.65644e-02 , -1.65644e-02
-5.47515e-03 , -5.47515e-03
 5.11319e-03 ,  5.11319e-03
 1.52087e-02 ,  1.52087e-02
 2.47312e-02 ,  2.47312e-02
 3.37291e-02 ,  3.37291e-02
 4.21954e-02 ,  4.21954e-02
 5.01503e-02 ,  5.01503e-02
 5.75854e-02 ,  5.75854e-02
 6.44538e-02 ,  6.44538e-02
 7.06891e-02 ,  7.06891e-02
 7.62869e-02 ,  7.62869e-02
 8.13526e-02 ,  8.13526e-02
 8.59638e-02 ,  8.59638e-02
 9.01163e-02 ,  9.01163e-02
 9.37821e-02 ,  9.37821e-02
 9.71265e-02 ,  9.71265e-02
 9.99628e-02 ,  9.99628e-02
 1.02228e-01 ,  1.02228e-01
 1.03972e-01 ,  1.03972e-01
 1.05245e-01 ,  1.05245e-01
 1.06089e-01 ,  1.06089e-01
 1.06591e-01 ,  1.06591e-01
 1.06827e-01 ,  1.06827e-01
 1.06838e-01 ,  1.06838e-01
 1.06584e-01 ,  1.06584e-01
 1.06022e-01 ,  1.06022e-01
 1.05151e-01 ,  1.05151e-01
 1.03955e-01 ,  1.03955e-01
 1.02398e-01 ,  1.02398e-01
 1.00490e-01 ,  1.00490e-01
 9.82058e-02 ,  9.82058e-02
 9.55999e-02 ,  9.55999e-02
 9.27037e-02 ,  9.27037e-02
 8.95333e-02 ,  8.95333e-02
 8.61822e-02 ,  8.61822e-02
 8.26797e-02 ,  8.26797e-02
 7.90182e-02 ,  7.90182e-02
 7.52011e-02 ,  7.52011e-02
 7.11867e-02 ,  7.11867e-02
 6.69484e-02 ,  6.69484e-02
 6.24685e-02 ,  6.24685e-02
 5.77067e-02 ,  5.77067e-02
 5.27185e-02 ,  5.27185e-02
 4.74646e-02 ,  4.74646e-02
 4.19383e-02 ,  4.19383e-02
 3.61544e-02 ,  3.61544e-02
 3.01155e-02 ,  3.01155e-02
 2.38880e-02 ,  2.38880e-02
 1.75383e-02 ,  1.75383e-02
 1.11426e-02 ,  1.11426e-02
 4.79381e-03 ,  4.79381e-03
-1.53193e-03 , -1.53193e-03
-7.83677e-03 , -7.83677e-03
-1.41321e-02 , -1.41321e-02
-2.04806e-02 , -2.04806e-02
-2.68423e-02 , -2.68423e-02
-3.31407e-02 , -3.31407e-02
-3.92660e-02 , -3.92660e-02
-4.51332e-02 , -4.51332e-02
-5.07165e-02 , -5.07165e-02
-5.59709e-02 , -5.59709e-02
-6.09168e-02 , -6.09168e-02
-6.55210e-02 , -6.55210e-02
-6.97527e-02 , -6.97527e-02
-7.36216e-02 , -7.36216e-02
-7.71302e-02 , -7.71302e-02
-8.03035e-02 , -8.03035e-02
-8.32213e-02 , -8.32213e-02
-8.59495e-02 , -8.59495e-02
-8.85685e-02 , -8.85685e-02
-9.11056e-02 , -9.11056e-02
-9.35638e-02 , -9.35638e-02
-9.59517e-02 , -9.59517e-02
-9.82538e-02 , -9.82538e-02
-1.00503e-01 , -1.00503e-01
-1.02742e-01 , -1.02742e-01
-1.05011e-01 , -1.05011e-01
-1.07342e-01 , -1.07342e-01
-1.09712e-01 , -1.09712e-01
-1.12059e-01 , -1.12059e-01
-1.14331e-01 , -1.14331e-01
-1.16485e-01 , -1.16485e-01
-1.18535e-01 , -1.18535e-01
-1.20505e-01 , -1.20505e-01
-1.22407e-01 , -1.22407e-01
-1.24261e-01 , -1.24261e-01
-1.26064e-01 , -1.26064e-01
-1.27836e-01 , -1.27836e-01
