Time , el8_pstrn
 0.00000e+00 ,  0.00000e+00
 9.98567e-05 ,  5.28782e-06
 1.99947e-04 ,  1.28915e-05
 2.99803e-04 ,  1.64412e-05
 3.99893e-04 ,  1.17675e-05
 4.99983e-04 ,  1.79069e-06
 5.99840e-04 , -2.51217e-06
 6.99930e-04 ,  3.34703e-06
 7.99787e-04 ,  1.02025e-05
 8.99877e-04 ,  2.04084e-05
 9.99967e-04 ,  3.82911e-05
 1.09982e-03 ,  6.06003e-05
 1.19991e-03 ,  8.32043e-05
 1.29977e-03 ,  1.05009e-04
 1.39986e-03 ,  1.19262e-04
 1.49995e-03 ,  1.26648e-04
 1.59981e-03 ,  1.51455e-04
 1.69990e-03 ,  2.16140e-04
 1.79999e-03 ,  2.61569e-04
 1.89984e-03 ,  1.15533e-04
 1.99993e-03 , -2.96842e-04
 2.09979e-03 , -4.29020e-04
 2.19988e-03 ,  1.23078e-03
 2.29997e-03 ,  6.50993e-03
 2.39983e-03 ,  1.57299e-02
 2.49992e-03 ,  2.68904e-02
 2.59977e-03 ,  3.62612e-02
 2.69986e-03 ,  4.13190e-02
 2.79995e-03 ,  3.95513e-02
 2.89981e-03 ,  3.46232e-02
 2.99990e-03 ,  2.89027e-02
 3.09999e-03 ,  2.44177e-02
 3.19985e-03 ,  2.13122e-02
 3.29994e-03 ,  1.96126e-02
 3.39979e-03 ,  1.92330e-02
 3.49988e-03 ,  1.95891e-02
 3.59997e-03 ,  1.95762e-02
 3.69983e-03 ,  1.90701e-02
 3.79992e-03 ,  1.77860e-02
 3.89978e-03 ,  1.61473e-02
 3.99987e-03 ,  1.42989e-02
 4.09996e-03 ,  1.20699e-02
 4.19981e-03 ,  8.71713e-03
 4.29990e-03 ,  4.99852e-03
 4.39999e-03 ,  1.66088e-03
 4.49985e-03 , -1.42345e-03
 4.59994e-03 , -3.90887e-03
 4.69980e-03 , -5.75033e-03
 4.79989e-03 , -6.56824e-03
 4.89998e-03 , -6.98164e-03
 4.99983e-03 , -6.98181e-03
 5.09992e-03 , -7.04127e-03
 5.19978e-03 , -6.69120e-03
 5.29987e-03 , -6.66204e-03
 5.39996e-03 , -6.58893e-03
 5.49982e-03 , -6.53263e-03
 5.59991e-03 , -6.53917e-03
 5.70000e-03 , -6.24589e-03
 5.79985e-03 , -5.92656e-03
 5.89994e-03 , -5.40427e-03
 5.99980e-03 , -4.70644e-03
 6.09989e-03 , -3.78918e-03
 6.19998e-03 , -2.78551e-03
 6.29984e-03 , -1.95051e-03
 6.39993e-03 , -1.12977e-03
 6.49978e-03 , -4.95081e-04
 6.59987e-03 , -1.25730e-04
 6.69996e-03 ,  3.27217e-04
 6.79982e-03 ,  6.46190e-04
 6.89991e-03 ,  9.01171e-04
 7.00000e-03 ,  1.16510e-03
 7.09986e-03 ,  1.47393e-03
 7.19995e-03 ,  2.10764e-03
 7.29980e-03 ,  2.79384e-03
 7.39989e-03 ,  3.82227e-03
 7.49998e-03 ,  5.05492e-03
 7.59984e-03 ,  6.42889e-03
