el8_pstrn , el8_pstrn
0.0,0.0
-1.54115e-5,-1.54115e-5
-5.77258e-5,-5.77258e-5
-0.000117355,-0.000117355
-0.00016787,-0.00016787
-0.000214471,-0.000214471
-0.000254624,-0.000254624
-0.000294839,-0.000294839
-0.000338849,-0.000338849
-0.000379847,-0.000379847
-0.000420282,-0.000420282
-0.00047059,-0.00047059
-0.000527724,-0.000527724
-0.000582036,-0.000582036
-0.000632821,-0.000632821
-0.000634078,-0.000634078
-0.000559756,-0.000559756
-0.000685608,-0.000685608
-0.00154724,-0.00154724
-0.00306758,-0.00306758
-0.0034515,-0.0034515
0.000907567,0.000907567
0.0133671,0.0133671
0.0336448,0.0336448
0.0568194,0.0568194
0.0764294,0.0764294
0.0881758,0.0881758
0.0931944,0.0931944
0.0933238,0.0933238
0.0920623,0.0920623
0.0915038,0.0915038
0.0919234,0.0919234
0.0960481,0.0960481
0.100262,0.100262
0.103493,0.103493
0.106036,0.106036
0.107652,0.107652
0.107362,0.107362
0.105022,0.105022
0.100577,0.100577
0.0943921,0.0943921
0.0878659,0.0878659
0.0819716,0.0819716
0.0768899,0.0768899
0.0725923,0.0725923
0.0683858,0.0683858
0.0641188,0.0641188
0.0600119,0.0600119
0.0561664,0.0561664
0.0534319,0.0534319
0.0520976,0.0520976
0.0512001,0.0512001
0.0514906,0.0514906
0.0522401,0.0522401
0.0534593,0.0534593
0.0552324,0.0552324
0.0569332,0.0569332
0.058615,0.058615
0.0602189,0.0602189
0.0620923,0.0620923
0.064388,0.064388
0.066916,0.066916
0.069797,0.069797
0.0729244,0.0729244
0.0759779,0.0759779
0.078864,0.078864
0.0813106,0.0813106
0.0829317,0.0829317
0.0837756,0.0837756
0.0841371,0.0841371
0.0841788,0.0841788
0.0842413,0.0842413
0.0838206,0.0838206
0.0829618,0.0829618
0.0818498,0.0818498
0.080237,0.080237
0.0784528,0.0784528
0.0766447,0.0766447
0.0748872,0.0748872
0.0732184,0.0732184
0.0717017,0.0717017
0.0703359,0.0703359
0.0691972,0.0691972
0.0681627,0.0681627
0.0673814,0.0673814
0.0668991,0.0668991
0.0666643,0.0666643
0.0665038,0.0665038
0.0663553,0.0663553
0.0663317,0.0663317
0.0663379,0.0663379
0.0665784,0.0665784
0.0669839,0.0669839
0.0674745,0.0674745
0.068034,0.068034
0.0686277,0.0686277
0.0691676,0.0691676
0.0692677,0.0692677
0.0688167,0.0688167
0.0682618,0.0682618
0.0678394,0.0678394
0.0677162,0.0677162
0.067904,0.067904
0.0678639,0.0678639
0.0675782,0.0675782
0.0671269,0.0671269
0.0666697,0.0666697
0.0666208,0.0666208
0.0670197,0.0670197
0.0674506,0.0674506
0.0679917,0.0679917
0.0686334,0.0686334
0.0692714,0.0692714
0.0698699,0.0698699
0.0706741,0.0706741
0.0716953,0.0716953
0.0727461,0.0727461
0.0736714,0.0736714
0.0745607,0.0745607
0.0752865,0.0752865
0.0761202,0.0761202
0.0772918,0.0772918
0.0786282,0.0786282
0.0797686,0.0797686
0.0809228,0.0809228
0.0820209,0.0820209
0.0832738,0.0832738
0.0848136,0.0848136
0.0864214,0.0864214
0.0879707,0.0879707
0.089513,0.089513
0.0912883,0.0912883
0.0928641,0.0928641
0.0942172,0.0942172
0.0956865,0.0956865
0.0970605,0.0970605
0.0985892,0.0985892
0.10027,0.10027
0.101957,0.101957
0.103765,0.103765
0.105499,0.105499
0.107212,0.107212
0.109003,0.109003
0.110871,0.110871
0.112678,0.112678
0.11427,0.11427
0.11578,0.11578
0.117149,0.117149
0.118667,0.118667
0.120238,0.120238
0.121988,0.121988
0.123549,0.123549
0.124944,0.124944
0.12629,0.12629
0.127485,0.127485
0.128291,0.128291
0.128514,0.128514
0.128358,0.128358
0.127653,0.127653
0.126493,0.126493
0.124737,0.124737
0.122731,0.122731
0.121122,0.121122
0.119942,0.119942
0.118931,0.118931
0.118114,0.118114
0.116894,0.116894
0.115718,0.115718
0.114858,0.114858
0.114323,0.114323
0.113573,0.113573
0.112646,0.112646
0.112185,0.112185
0.111436,0.111436
0.11074,0.11074
0.110472,0.110472
0.110466,0.110466
0.110433,0.110433
0.110188,0.110188
0.10977,0.10977
0.10917,0.10917
0.108308,0.108308
0.107256,0.107256
0.106062,0.106062
0.104792,0.104792
0.103574,0.103574
0.102514,0.102514
0.101264,0.101264
0.0997818,0.0997818
0.0980854,0.0980854
0.0961991,0.0961991
0.0941625,0.0941625
0.0920181,0.0920181
0.0898229,0.0898229
0.0876245,0.0876245
0.0854429,0.0854429
0.0832655,0.0832655
0.0812187,0.0812187
0.0793089,0.0793089
0.077635,0.077635
0.07616,0.07616
0.0748441,0.0748441
0.0736203,0.0736203
0.0726079,0.0726079
0.0715535,0.0715535
0.0704489,0.0704489
0.0692385,0.0692385
0.0679784,0.0679784
0.0667749,0.0667749
0.0654333,0.0654333
0.0641551,0.0641551
0.0629734,0.0629734
0.0619437,0.0619437
0.0609866,0.0609866
0.0599122,0.0599122
0.0587249,0.0587249
0.0574418,0.0574418
0.0563366,0.0563366
0.0554107,0.0554107
0.0544715,0.0544715
0.0535185,0.0535185
0.0526546,0.0526546
0.0516792,0.0516792
0.0506171,0.0506171
0.0495593,0.0495593
0.0485695,0.0485695
0.0477124,0.0477124
0.0469533,0.0469533
0.0461625,0.0461625
0.0453123,0.0453123
0.044273,0.044273
0.0431261,0.0431261
0.0421025,0.0421025
0.0410223,0.0410223
0.0396388,0.0396388
0.038055,0.038055
0.0364308,0.0364308
0.034996,0.034996
0.0341187,0.0341187
0.0336835,0.0336835
0.0331088,0.0331088
0.0324181,0.0324181
0.0317901,0.0317901
0.0312757,0.0312757
0.0311906,0.0311906
0.0311536,0.0311536
0.0310101,0.0310101
0.0308691,0.0308691
0.0307763,0.0307763
0.0307995,0.0307995
0.0308356,0.0308356
0.0307885,0.0307885
0.0307367,0.0307367
0.0307297,0.0307297
0.0306817,0.0306817
0.0307495,0.0307495
0.0308053,0.0308053
0.0308425,0.0308425
0.0309454,0.0309454
0.0311219,0.0311219
0.0314412,0.0314412
0.0318878,0.0318878
0.0324105,0.0324105
0.0329787,0.0329787
0.0336403,0.0336403
0.0344035,0.0344035
0.0351906,0.0351906
0.0359646,0.0359646
0.0366533,0.0366533
0.0372957,0.0372957
0.0378962,0.0378962
0.038475,0.038475
0.0390668,0.0390668
0.0396166,0.0396166
0.0401091,0.0401091
0.0405877,0.0405877
0.0409952,0.0409952
0.0412748,0.0412748
0.041483,0.041483
0.0417647,0.0417647
0.0421565,0.0421565
0.0425684,0.0425684
0.0429869,0.0429869
0.0434211,0.0434211
0.0439406,0.0439406
0.0444237,0.0444237
0.0449137,0.0449137
0.0453896,0.0453896
0.0458293,0.0458293
0.0463867,0.0463867
0.0469462,0.0469462
0.047457,0.047457
0.0479941,0.0479941
0.0484035,0.0484035
0.0487614,0.0487614
0.0491006,0.0491006
0.0494173,0.0494173
0.0498251,0.0498251
0.0503414,0.0503414
0.0509131,0.0509131
0.0514653,0.0514653
0.0520546,0.0520546
0.0525363,0.0525363
0.053054,0.053054
0.053556,0.053556
0.0539561,0.0539561
0.0542904,0.0542904
0.0544957,0.0544957
0.054682,0.054682
0.0548557,0.0548557
0.055084,0.055084
0.0553649,0.0553649
0.0556658,0.0556658
0.0558537,0.0558537
0.0559061,0.0559061
0.0558439,0.0558439
0.055773,0.055773
0.0557574,0.0557574
0.0557579,0.0557579
0.0556474,0.0556474
0.0553599,0.0553599
0.0549418,0.0549418
0.0544089,0.0544089
0.0538974,0.0538974
0.0533916,0.0533916
0.0529106,0.0529106
0.0524124,0.0524124
0.0518463,0.0518463
0.0511881,0.0511881
0.0504726,0.0504726
0.0497976,0.0497976
0.0491558,0.0491558
0.0485584,0.0485584
0.0478963,0.0478963
0.0471839,0.0471839
0.0463533,0.0463533
0.0455415,0.0455415
0.0448771,0.0448771
0.0441756,0.0441756
0.0436777,0.0436777
